"id","filename","sample","brand","brand_x_colour"
"s001","markerblack_trans0.5_32s_4cm_spot01.dat","BLACK","A","A_BLACK"
"s002","markerblack_trans0.5_32s_4cm_spot01a.dat","BLACK","A","A_BLACK"
"s003","markerblack_trans0.5_32s_4cm_spot02.dat","BLACK","A","A_BLACK"
"s004","markerblack_trans0.5_32s_4cm_spot03.dat","BLACK","A","A_BLACK"
"s005","markerblack_trans0.5_32s_4cm_spot04.dat","BLACK","A","A_BLACK"
"s006","markerblack_trans0.5_32s_4cm_spot05.dat","BLACK","A","A_BLACK"
"s007","markerbluenavy_trans0.5_32s_4cm_spot1.dat","BLUENAVY","A","A_BLUENAVY"
"s008","markerbluenavy_trans0.5_32s_4cm_spot2.dat","BLUENAVY","A","A_BLUENAVY"
"s009","markerbluenavy_trans0.5_32s_4cm_spot3.dat","BLUENAVY","A","A_BLUENAVY"
"s010","markerbluenavy_trans0.5_32s_4cm_spot4.dat","BLUENAVY","A","A_BLUENAVY"
"s011","markerbluenavy_trans0.5_32s_4cm_spot5.dat","BLUENAVY","A","A_BLUENAVY"
"s012","markerbluepale_trans0.5_32s_4cm_spot01.dat","BLUEPALE","A","A_BLUEPALE"
"s013","markerbluepale_trans0.5_32s_4cm_spot02.dat","BLUEPALE","A","A_BLUEPALE"
"s014","markerbluepale_trans0.5_32s_4cm_spot03.dat","BLUEPALE","A","A_BLUEPALE"
"s015","markerbluepale_trans0.5_32s_4cm_spot04.dat","BLUEPALE","A","A_BLUEPALE"
"s016","markerbluepale_trans0.5_32s_4cm_spot05.dat","BLUEPALE","A","A_BLUEPALE"
"s017","markerblueroyal_trans0.5_32s_4cm_spot01.dat","BLUEROYAL","A","A_BLUEROYAL"
"s018","markerblueroyal_trans0.5_32s_4cm_spot02.dat","BLUEROYAL","A","A_BLUEROYAL"
"s019","markerblueroyal_trans0.5_32s_4cm_spot03.dat","BLUEROYAL","A","A_BLUEROYAL"
"s020","markerblueroyal_trans0.5_32s_4cm_spot04.dat","BLUEROYAL","A","A_BLUEROYAL"
"s021","markerblueroyal_trans0.5_32s_4cm_spot05.dat","BLUEROYAL","A","A_BLUEROYAL"
"s022","markergreendark_trans0.5_32s_4cm_spot01.dat","GREENDARK","A","A_GREENDARK"
"s023","markergreendark_trans0.5_32s_4cm_spot02.dat","GREENDARK","A","A_GREENDARK"
"s024","markergreendark_trans0.5_32s_4cm_spot02a.dat","GREENDARK","A","A_GREENDARK"
"s025","markergreendark_trans0.5_32s_4cm_spot03.dat","GREENDARK","A","A_GREENDARK"
"s026","markergreendark_trans0.5_32s_4cm_spot04.dat","GREENDARK","A","A_GREENDARK"
"s027","markergreendark_trans0.5_32s_4cm_spot05.dat","GREENDARK","A","A_GREENDARK"
"s028","markerpurpledark_trans0.5_32s_4cm_spot01.dat","PURPLEDARK","A","A_PURPLEDARK"
"s029","markerpurpledark_trans0.5_32s_4cm_spot02.dat","PURPLEDARK","A","A_PURPLEDARK"
"s030","markerpurpledark_trans0.5_32s_4cm_spot03.dat","PURPLEDARK","A","A_PURPLEDARK"
"s031","markerpurpledark_trans0.5_32s_4cm_spot04.dat","PURPLEDARK","A","A_PURPLEDARK"
"s032","markerpurpledark_trans0.5_32s_4cm_spot05.dat","PURPLEDARK","A","A_PURPLEDARK"
